School District,County,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
Southwick-Tolland School District,"Hampden, MA","$320,000 ","$190,000 ",168%,69.23%,85,61,139%,24,5.7
Caseville Public School District,"Huron, MI","$160,000 ","$95,000 ",168%,133.33%,270,90,300%,180,5.2
Ardsley Union Free School District,"Westchester, NY","$799,000 ","$475,000 ",168%,144.00%,38,62,61%,-24,9.1
North Salem Central School District,"Westchester, NY","$799,000 ","$475,000 ",168%,72.00%,86,62,139%,24,8.5
Westonka Public School District,"Hennepin, MN","$504,000 ","$300,000 ",168%,81.25%,58,44,132%,14,9.5
Beachwood City School District,"Cuyahoga, OH","$267,000 ","$159,000 ",168%,118.60%,59,63,94%,-4,9.4
Mill Valley Elementary School District,"Marin, CA","$1,973,000 ","$1,175,000 ",168%,83.70%,40,37,108%,3,9
Marquette Area Public School District,"Marquette, MI","$250,000 ","$149,000 ",168%,155.00%,68,72,94%,-4,9
Lakeland School District,"Lackawanna, PA","$193,000 ","$115,000 ",168%,147.92%,68,95,72%,-27,5
Lee's Summit R-Vii School District,"Jackson, MO","$285,000 ","$170,000 ",168%,133.33%,47,51,93%,-4,8.2
Shawnee Heights School District,"Shawnee, KS","$194,000 ","$116,000 ",168%,98.98%,57,44,128%,13,4
Woodstock School District,"Windsor, VT","$467,000 ","$279,000 ",167%,200.00%,148,159,93%,-11,8.3
Tredyffrin-Easttown School District,"Chester, PA","$669,000 ","$400,000 ",167%,104.55%,69,66,105%,3,9.6
Avon Local School District,"Lorain, OH","$320,000 ","$191,000 ",167%,145.37%,48,60,81%,-12,9.2
Cupertino Union School District,"Santa Clara, CA","$1,588,000 ","$950,000 ",167%,85.94%,25,32,78%,-7,9.3
Guntersville City School District,"Marshall, AL","$317,000 ","$190,000 ",167%,120.00%,109,96,114%,13,9.3
Brownsburg Community School Corporation,"Marion, IN","$200,000 ","$120,000 ",167%,145.45%,52,58,90%,-6,8
M S D Washington Township School District,"Marion, IN","$200,000 ","$120,000 ",167%,172.73%,55,58,95%,-3,4.7
Scotch Plains-Fanwood School District,"Union, NJ","$532,000 ","$319,000 ",167%,192.86%,51,59,86%,-8,8.2
Garden City Union Free School District,"Nassau, NY","$998,000 ","$599,000 ",167%,150.00%,58,66,88%,-8,9.7
Palominas Elementary District School District,"Cochise, AZ","$260,000 ","$156,000 ",167%,90.91%,109,106,102%,3,7
Gwinnett County School District,"Jackson, GA","$480,000 ","$288,000 ",166%,80.00%,71,59,120%,12,9.2
Lakeville Public School District,"Scott, MN","$524,000 ","$315,000 ",166%,92.00%,65,45,143%,20,8.7
Frankford Township School District,"Sussex, NJ","$399,000 ","$240,000 ",166%,73.68%,109,78,139%,31,7
North Colonie Csd School District,"Albany, NY","$349,000 ","$210,000 ",166%,109.52%,78,72,108%,6,8.6
Fulton County School District,"Clayton, GA","$166,000 ","$100,000 ",166%,30.00%,135,72,188%,63,2
North Shore Central School District,"Nassau, NY","$993,000 ","$599,000 ",166%,110.00%,54,66,82%,-12,7.9
Stonington School District,"New London, CT","$472,000 ","$285,000 ",166%,101.43%,101,79,127%,22,8
Dallas School District,"Luzerne, PA","$210,000 ","$127,000 ",165%,261.11%,67,96,70%,-29,8
Jackson-Milton Local School District,"Mahoning, OH","$190,000 ","$115,000 ",165%,110.53%,82,85,96%,-3,6
Great Neck Union Free School District,"Nassau, NY","$989,000 ","$599,000 ",165%,70.00%,60,66,91%,-6,9.1
Sparta Township School District,"Sussex, NJ","$396,000 ","$240,000 ",165%,147.37%,67,78,86%,-11,8
Holmdel Township School District,"Monmouth, NJ","$849,000 ","$515,000 ",165%,127.91%,62,65,95%,-3,9
