Year,IDCENSUS,NAME,CONUM,CSA,CBSA,NCESID,ENROLL,TOTALREV,TFEDREV,FEDRCOMP,FEDRSPEC,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRSPEC,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD
2011,2.11007E+13,CARROLL CO SCHS,24013,548,12580,2400210,27334,372454,17383,1108,8163,2042,6070,165803,99945,11696,8629,45533,189268,0,0,178467,0,0,9868,933,365590,345370,200743,86734,207938,136251,60660,125382,17525,18394,1692,23619,64152,12050,8294,7048,4878,117512,14487,6808,100,4.7,0.3,44.5,26.8,50.8,47.9,0,2.6,12624,7344,3173,7607,4985,2219,4587,641,673,62,864
2011,2.11008E+13,CECIL COUNTY PUBLIC SCHOOLS,24015,428,37980,2400240,15937,218948,20775,3276,6360,3141,7998,110329,62208,7986,4440,35695,87844,0,0,72620,0,0,5189,10035,211397,194673,118899,46299,119965,80548,33810,65872,8967,11070,1794,14374,29667,8836,9376,3989,3359,75601,0,5684,100,9.5,1.5,50.4,28.4,40.1,33.2,0,2.4,12191,7461,2905,7527,5054,2121,4133,563,695,113,902
2011,2.11009E+13,CHARLES CO SCHS,24017,548,47900,2400270,26850,375302,21870,2709,8033,4002,7126,172937,100850,7504,9037,55546,180495,0,0,165173,0,0,13732,1590,363345,343611,198467,74727,189509,136063,45994,134219,18337,16095,1742,20989,77056,19883,13419,3195,3120,82678,64835,11620,100,5.8,0.7,46.1,26.9,48.1,44,0,3.7,12700,7392,2783,7058,5068,1713,4999,683,599,65,782
2011,2.1101E+13,DORCHESTER CO SCHS,24019,N,15700,2400300,4647,75257,7475,1363,1340,1632,3140,39168,16869,1276,2084,18939,28614,0,0,25874,0,0,1674,1066,72765,59537,33910,13812,35677,22958,10177,20449,2249,3699,328,4503,9670,3411,12324,80,824,25918,0,1525,100,9.9,1.8,52,22.4,38,34.4,0,2.2,12797,7297,2972,7677,4940,2190,4400,484,796,71,969
2011,2.11011E+13,FREDERICK CO SCHOOLS,24021,548,47900,2400330,40188,569945,39408,4305,12432,4382,18289,245681,141556,13993,10505,79627,284856,0,0,260556,0,0,13635,10665,543073,496144,303688,122255,307758,206765,86175,170556,23172,27872,4465,32671,82376,17830,27635,7107,12187,250657,0,17076,100,6.9,0.8,43.1,24.8,50,45.7,0,2.4,12319,7557,3042,7658,5145,2144,4244,577,694,111,813
2011,2.11012E+13,GARRETT COUNTY SCHOOLS,24023,N,N,2400360,4212,61524,7828,1340,1608,1114,3766,26611,12683,1316,2581,10031,27085,0,0,23494,0,0,2260,1331,60803,59447,32962,14504,34851,23188,10487,20543,2994,2426,411,2865,11847,4053,459,864,33,0,0,1072,100,12.7,2.2,43.3,20.6,44,38.2,0,3.7,14052,7826,3443,8274,5505,2490,4877,711,576,98,680
2011,2.11013E+13,HARFORD CO SCH,24025,548,12580,2400390,38394,576683,41605,5003,13144,5956,17502,248376,140445,17318,10805,79808,286702,0,0,264077,0,276,15049,7300,563405,489960,278128,131490,299865,192073,95481,168540,21164,20447,2098,30913,93918,21555,50282,11773,11390,294995,0,11187,100,7.2,0.9,43.1,24.4,49.7,45.8,0,2.6,12750,7244,3425,7810,5003,2487,4390,551,533,55,805
2011,2.11014E+13,HOWARD COUNTY SCHOOLS,24027,548,12580,2400420,50994,890726,39988,1708,13855,3991,20434,263585,145897,13422,13884,90382,587153,0,0,560959,0,0,21670,4524,863087,778712,465348,186563,506984,336685,141148,240967,35667,40084,4380,52909,107927,30761,64858,4891,14626,433007,39369,24490,100,4.5,0.2,29.6,16.4,65.9,63,0,2.4,15139,9126,3659,9942,6602,2768,4725,699,786,86,1038
2011,2.11015E+13,KENT COUNTY SCHOOLS,24029,N,N,2400450,2183,33253,4114,473,787,752,2102,11212,3138,900,1367,5807,17927,0,0,17119,0,0,682,126,33202,32796,18870,6668,18564,12459,4751,12746,1317,2175,414,2228,6612,1486,406,0,0,0,0,0,100,12.4,1.4,33.7,9.4,53.9,51.5,0,2.1,14979,8644,3055,8504,5707,2176,5839,603,996,190,1021
2011,2.11016E+13,MONTGOMERY COUNTY SCHOOLS,24031,548,47900,2400480,144023,2687215,165503,23458,46184,24045,71816,666593,256549,43960,31619,334465,1855119,0,0,1782926,0,0,63088,9105,2496790,2223096,1400621,636782,1411717,933866,440073,730904,89001,148824,17880,156940,318259,80475,197061,33984,42649,932882,99100,68854,100,6.2,0.9,24.8,9.5,69,66.3,0,2.3,15421,9725,4421,9802,6484,3056,5075,618,1033,124,1090
2011,2.11017E+13,PRINCE GEORGES CO SCHS,24033,548,47900,2400510,126671,1910110,246936,49487,40188,39250,118011,927357,454550,50049,34183,388575,735817,0,0,689293,0,0,42793,3731,1976560,1747447,1035367,442677,1012380,667476,271760,655602,82000,87032,17788,106591,362191,79465,159354,48238,21521,488816,25025,32379,100,12.9,2.6,48.5,23.8,38.5,36.1,0,2.2,13775,8174,3495,7992,5269,2145,5176,647,687,140,841
2011,2.11018E+13,QUEEN ANNES COUNTY SCHOOLS,24035,548,12580,2400540,7781,117191,8049,717,2710,871,3751,43419,19472,2165,2886,18896,65723,0,0,61971,0,0,2989,763,112687,93912,54118,22914,58457,38987,17002,31627,4300,4566,765,5456,16540,3828,15476,895,2404,29226,0,4308,100,6.9,0.6,37,16.6,56.1,52.9,0,2.6,12065,6955,2945,7513,5011,2185,4065,553,587,98,701
2011,2.11019E+13,ST MARYS CO SCHS,24037,548,30500,2400600,17271,226049,22467,2553,4548,2719,12647,108687,61192,5633,5793,36069,94895,0,0,86987,0,0,7629,279,227674,213085,123314,52089,122987,83179,34312,79873,9036,13967,1656,14034,41180,10225,10632,1578,2379,57620,0,4923,100,9.9,1.1,48.1,27.1,42,38.5,0,3.4,12320,7140,3016,7121,4816,1987,4625,523,809,96,813
2011,2.1102E+13,SOMERSET CO SCHS,24039,480,41540,2400570,2920,50325,6703,1685,1181,1128,2709,31385,11488,1369,1605,16923,12237,0,0,10972,0,0,1004,261,50809,41313,23884,9793,23379,15731,6557,15531,2277,3677,314,2280,6983,2403,9096,0,400,8532,0,833,100,13.3,3.3,62.4,22.8,24.3,21.8,0,2,14095,8179,3354,8007,5387,2246,5319,780,1259,108,781
2011,2.11021E+13,TALBOT CO SCHS,24041,N,20660,2400630,4504,59889,4408,730,1559,840,1279,14068,3938,788,1358,7984,41413,0,0,35020,0,0,1832,4561,57655,54400,31547,13804,32551,20609,9183,18631,1960,4049,494,3581,8547,3218,1725,71,1459,35557,0,2241,100,7.4,1.2,23.5,6.6,69.1,58.5,0,3.1,12015,7004,3065,7227,4576,2039,4137,435,899,110,795
2011,2.11022E+13,WASHINGTON CO SCHS,24043,N,25180,2400660,22206,304441,31388,5485,8068,5706,12129,168218,86207,8215,6020,67776,104835,0,0,94635,0,391,8462,1347,312774,277711,164573,66238,166098,108968,47162,96351,9238,18180,1378,18628,48927,15262,30475,2739,1849,50039,0,3969,100,10.3,1.8,55.3,28.3,34.4,31.1,0.1,2.8,12491,7411,2983,7480,4907,2124,4339,416,819,62,839
2011,2.11023E+13,WICOMICO CO SCHOOLS,24045,480,41540,2400690,14382,213211,21731,5153,5411,4145,7022,131192,61677,6319,5462,57734,60288,0,0,54130,0,122,4453,1583,207463,192245,110499,46925,111853,74448,32651,71094,12443,11295,891,12769,33696,9298,11415,270,3533,81579,14500,7400,100,10.2,2.4,61.5,28.9,28.3,25.4,0.1,2.1,13356,7683,3263,7777,5176,2270,4943,865,785,62,888
2011,2.11024E+13,WORCESTER CO BOARD OF EDUCATION,24047,480,36180,2400720,6699,128507,10946,1780,2324,1597,5245,24609,5634,1448,2598,14929,92952,0,0,89051,0,0,3136,765,122769,110102,63999,25380,69508,45973,18878,35296,4252,7043,462,6915,16624,5298,9179,341,3147,36542,0,6038,100,8.5,1.4,19.1,4.4,72.3,69.3,0,2.4,16393,9554,3789,10376,6863,2818,5269,635,1051,69,1032
2011,2.12004E+13,BALTIMORE CITY SCHOOLS,24510,548,12580,2400090,83800,1441019,279303,106721,36064,29250,107268,892935,358731,81103,16752,436349,268781,0,0,251686,0,0,8356,8739,1452189,1297626,694684,304379,755350,450710,181367,503368,47794,93307,29470,122437,210360,38908,84383,67428,2752,151575,60825,5350,100,19.4,7.4,62,24.9,18.7,17.5,0,0.6,15483,8290,3632,9014,5378,2164,6007,570,1113,352,1461
